"<ID|readonly|noverify>";"<English>";"<French>";"<Italian>";"<German>";"<Spanish>";"<Russian>";"<Polish>";"<Czech>";"<Turkish>";"<Chinese>";"<Japanese>";"<Portuguese>";"<Ukrainian>";"<Serbian>";"<Hungarian>";"<Korean>";"<Belarusian>";"<Romanian>";"<TChinese>";"<HChinese>";"<Vietnamese>";"<Comments>";"<max_chars>"
"mainmenu/btnExitWizard";"Exit the Controls Setup Wizard";"Quitter l'assistant de configuration des commandes";"Esci dalla configurazione guidata dei controlli";"Assistent verlassen";"Salir del asistente de configuración de controles";"Выйти из ""Мастера настройки управления"".";"Opuść kreatora ustawień klawiszy";"Opustit průvodce nastavením ovládání";"Kontrol Kurulum Sihirbazı'ndan çık";"退\t出\t控\t制\t设\t置\t向\t导";"コントロール セットアップ ウィザードを\t終了";"Sair do assistente de configuração de controles";"Вийти з ""Майстра налаштування керування""";"Izađi iz asistenta za podešavanje kontrola";"Kilépés az irányítás beállítás varázslóból";"조작 설정 마법사 종료";"Выйсці з «Майстра наладкі кіравання»";"Ieșire din asistentul de configurare a comenzilor";"退\t出\t控\t制\t設\t置\t指\t引";"退\t出\t控\t制\t设\t置\t向\t导";"Thoát khỏi thiết lập trình điều khiển";;
"mainmenu/btnChangeName";"Change Nickname";"Modifier le pseudo";"Cambia nickname";"Nickname ändern";"Cambiar el nombre de jugador";"Сменить ник";"Zmień pseudonim";"Změnit přezdívku";"Takma Adı Değiştir";"更\t改\t昵\t称";"ニックネームの\t変更";"Alterar Nick";"Змінити ім'я";"Promena nadimka";"Felhasználónév módosítása";"닉네임 변경";"Змяніць сваё імя";"Schimbare pseudonim";"變\t更\t暱\t稱";"更\t改\t昵\t称";"Đổi tên nhân vật";;
"mainmenu/chooseName";"Choose a Nickname";"Choisissez un Pseudo";"Scegli un Nickname";"Wähle einen Nicknamen";"Elige el nombre de jugador";"Выберите себе ник";"Wybierz Pseudonim";"Vyber si přezdívku";"Takma İsim Seç";"填\t写\t昵\t称";"ニックネームの\t選択";"Escolha um nome de jogo";"Виберіть собі нік";"Izaberi nadimak";"Válassz felhasználónevet";"닉네임을 선택하십시오";"Выберыце псеўданім";"Alegere pseudonim";"選\t擇\t暱\t稱";"填\t写\t昵\t称";"Đặt tên nhân vật";;
"mainmenu/btnChangePlayer";"Switch User";"Changer d'utilisateur";"Cambia account";"Benutzer wechseln";"Cambiar Usuario";"Сменить пользователя";"Przełącz użytkownika";"Přepnout uživatele";"Kullanıcı değiştir";"切\t换\t账\t号";"アカウントの\t変更";"Alterar conta";"Змінити користувача";"Promeni nalog";"Felhasználóváltás";"계정 변경";"Змяніць карыстальніка";"Schimbare utilizator";"切\t換\t使\t用\t者";"切\t换\t账\t号";"Thay đổi tài khoản";;
"mainmenu/btnXboxProfile";"Gamercard";"Carte du joueur";"Scheda giocatore";"Spielerkarte";"Tarjeta de jugador";"Карта игрока";"Karta gracza";"Gamercard";"Oyuncu kartı";"玩\t家\t卡\t片";"ゲーマーカード";"Сartão de jogador";"Xbox Профіль";"Karta igrača";"Xbox profil";"게이머 카드";"Профіль Xbox";"Profil Xbox";"玩\t家\t卡\t片";"Xbox 档\t案";"Thẻ tên";"Xbox One Required Terminology";
"mainmenu/btnPsnProfile";"Profile";"Profil";"Profilo";"Profil";"Perfil";"Профиль";"Profil";"Profil";"Profile";"档\t案";"プロフィール";"Perfil";"Профіль";"Profil";"Profil";"프로필";"Профіль";"Profile";"檔\t案";"档\t案";"Hồ sơ cá nhân";"PSN Required Terminology";
"mainmenu/btnComplain";"Complain";"Déposer une plainte";"Reclama";"Melden";"Formular queja";"Пожаловаться";"Zgłoś skargę";"Stěžovat si";"Şikayet";"投\t诉";"報告";"Reportar";"Поскаржитися";"Pritužba";"Panasztétel";"신고";"Паскардзіцца";"Reclamare";"投\t訴";"投\t诉";"Khiếu nại";;
"mainmenu/btnSend";"Send";"Envoyer";"Invia";"Abschicken";"Enviar";"Отправить";"Wyślij";"Odeslat";"Gönder";"发\t送";"送信";"Enviar";"Надіслати";"Pošalji";"Küldés";"보내기";"Адправіць";"Trimite";"發\t送";"发\t送";"Gửi";;
"mainmenu/btnUserCard";"Player Card";"Carte du joueur";"Scheda giocatore";"Spielerkarte";"Tarjeta de Jugador";"Карточка игрока";"Profil Gracza";"Karta hráče";"Oyuncu Kartı";"玩\t家\t资\t料";"プレイヤーカード";"Cartão de Jogador";"Картка гравця";"Profil igrača";"Adatlap";"플레이어 카드";"Картка гульца";"Date jucător";"玩\t家\t資\t料";"玩\t家\t资\t料";"Thông tin";;
"mainmenu/btnProfile";"Player Profile";"Profil du joueur";"Profilo Giocatore";"Spielerprofil";"Perfil del Jugador";"Профиль игрока";"Profil Gracza";"Profil hráče";"Oyuncu Profili";"个\t人\t页\t面";"プレイヤープロフィール";"Perfil do Jogador";"Профіль гравця";"Profil igrača";"Adatlap";"플레이어 프로필";"Картка гульца";"Player Card";"個\t人\t檔\t案";"玩\t家\t资\t料";"Hồ sơ người chơi";;
"mainmenu/btnMain";"Main";"Principal";"Principale";"Hauptmenü";"Principal";"Главная";"Główne";"Hlavní";"Ana";"主\t要";"メイン";"Principal";"Головна";"Glavni";"Fő";"메인";"Галоўная";"Meniu";"主\t要";"主\t要";"Chính";;
"mainmenu/btnSteamFriendsAdd";"Add Steam Friends";"Ajouter des amis Steam";"Aggiungi gli amici di Steam";"Steam-Freunde hinzufügen";"Agregar Amigos de Steam";"Добавить друзей из Steam";"Dodaj znajomych z platformy Steam";"Přidat přátele ze Steamu";"Steam Arkadaşlarını Ekle";"添\t加 Steam 的\t好\t友";"Steam の\tフレンドを\t追加";"Adicionar Amigos do Steam";"Додати друзів зі Steam";"Dodaj ""Steam"" prijatelje";"Steam-barátok hozzáadása";"스팀 친구 추가";"Дадаць сяброў са Steam";"Adăugare prieteni Steam";"加\t入 Steam 好\t友";"添\t加 Steam 的\t好\t友";"Thêm bạn Steam";;
"mainmenu/btnFacebookFriendsAdd";"Add Facebook Friends";"Ajouter des amis Facebook";"Aggiungi gli amici di Facebook";"Facebook-Freunde hinzufügen";"Agregar Amigos de Facebook";"Добавить друзей из Facebook";"Dodaj znajomych z Facebooka";"Přidat přátele z Facebooku";"Facebook arkadaşlarınızı ekleyin";"添\t加 Facebook 的\t好\t友";"Facebook の\t友人を\t追加";"Adicionar Amigos do Facebook";"Додати друзів з Facebook";"Dodaj prijatelje sa Facebooka";"Facebook-barátok hozzáadása";"페이스북 친구 추가";"Дадаць сяброў з Facebook";"Adăugare prieteni Facebook";"加\t入 Facebook 好\t友";"添\t加 Facebook 的\t好\t友";"Thêm Facebook chiến hữu";;
"mainmenu/btnSteamFriendsAddShort";"Add Friends from";"Ajouter des amis à partir de";"Aggiungi amici da";"Freunde hinzufügen von";"Agrega Amigos de";"Добавить друзей из";"Dodaj znajomych z";"Přidat přátele z";"Şuradan arkadaş ekle";"添\t加\t好\t友\t自";"次の\t場所から\tフレンド\t追加:";"Adicionar Amigos de";"Додати друзів з";"Dodaj prijatelje iz";"Barátok hozzáadása:";"스팀 친구 추가";"Дадаць сяброў са";"Adăugare prieteni din";"加\t入\t好\t友";"添\t加\t好\t友\t自";"Thêm bạn bè từ";;
"mainmenu/btnFacebookFriendsAddShort";"Add Friends from";"Ajouter des amis à partir de";"Aggiungi amici da";"Freunde hinzufügen von";"Agrega Amigos de";"Добавить друзей из";"Dodaj znajomych z";"Přidat přátele z";"Şuradan arkadaş ekle";"添\t加\t好\t友\t自";"次の\t場所から\tフレンド\t追加:";"Adicionar Amigos de";"Додати друзів з";"Dodaj prijatelje iz";"Barátok hozzáadása:";"페이스북 친구 추가";"Дадаць сяброў з";"Adăugare prieteni din";"加\t入\t好\t友";"添\t加\t好\t友\t自";"Thêm bạn bè từ";;
"mainmenu/btnInviteFriend";"+ Invite Friend";"+ Inviter un ami";"+ invito amico";"+ Freund einladen";"+ Invitar amigo";"+ Пригласить друга";"+ Zaproś przyjaciela";"+ Pozvat přítele";"+Arkadaşını Davet ET";"+ 邀\t请\t好\t友";"+ フレンド\t招待";"+ Convidar Amigo";"+ Запросити друга";"+ Pozvati prijatelja";"+ Barát meghívása";"+ 친구 초대";"+ Запрасіць сябра";"+ Invitare prieten";"+ 邀\t请\t好\t友";"+ 邀\t请\t好\t友";"+ Mời bạn bè";;
"mainmenu/btnRandomBattlesMenu";"Battle Settings";"Paramètres de bataille";"Impostazioni battaglia";"Schlachteinstellungen";"Configuración de batalla";"Параметры боя";"Ustawienia bitewne";"Nastavení bitvy";"Savaş ayarları";"任\t务\t设\t置";"戦闘の\t設定";"Configurações de Batalha";"Налаштування бою";"Podešavanja borbe";"Csatabeállítások";"전투 설정";"Налады бою";"Setări lupte";"戰\t鬥\t設\t置";"任\t务\t设\t置";"Thiết lập trận chiến";;
"mainmenu/title";"Main Menu";"Menu principal";"Menu principale";"Hauptmenü";"Menú Principal";"Основное меню";"Menu główne";"Hlavní nabídka";"Ana Menü";"主\t菜\t单";"メインメニュー";"Menu principal";"Головне меню";"Glavni meni";"Főmenü";"주 메뉴";"Галоўнае меню";"Meniu principal";"主\t要\t選\t單";"主\t菜\t单";"Menu chính";;
"mainmenu/addCustomNick";"Add Nickname";"Ajouter pseudo";"Aggiungi Soprannome";"Nickname hinzufügen";"Añadir Apodo";"Добавить ник";"Dodaj nick";"Přidat přezdívku";"Kullanıcı adı ekle";"添\t加\t昵\t称";"ニックネーム\t追加";"Adicionar apelido";"Додати псевдонім";"Add Nickname";"Add Nickname";"닉네임 추가";"Добавить ник";"Add Nickname";"添\t加\t暱\t稱";"Add Nickname";"Thêm Biệt danh";;
"mainmenu/campaignChapterSelectTitle";"Select Chapter";"Sélectionner un chapitre";"Seleziona capitolo";"Kapitel wählen";"Seleccionar Capítulo";"Выбор главы";"Wybierz rozdział";"Vybrat kapitolu";"Bölüm seç";"选\t择\t章\t节";"チャプター\t選択";"Selecionar Capítulo";"Оберіть розділ";"Odaberi poglavlje";"Fejezet kiválasztása";"챕터 선택";"Выбар раздзела";"Selectare capitol";"選\t擇\t章\t節";"选\t择\t章\t节";"Chọn chương";;
"mainmenu/titleSelectRealismLevel";"Difficulty Level";"Niveau de difficulté";"Livello di difficoltà";"Schwierigkeitsgrad";"Nivel de Dificultad";"Уровень сложности";"Poziom trudności";"Úroveň obtížnosti";"Zorluk seviyesi";"难\t度\t等\t级";"難易度設定";"Nível de Dificuldade";"Рівень складності";"Nivo težine";"Nehézségi szint";"난이도";"Узровень складанасці";"Nivel de dificultate";"難\t度\t等\t級";"难\t度\t等\t级";"Độ khó";;
"mainmenu/titleLeaderboards";"Leaderboards";"Classements";"Classifiche";"Bestenlisten";"Marcadores ";"Таблицы рекордов";"Rankingi";"Žebříčky";"Liderlik Tabloları";"排\t行\t榜\t单";"ランキング";"Placares de líderes";"Таблиці рекордів";"Tabela";"Ranglisták";"순위표";"Табліцы рэкордаў";"Clasament";"排\t行\t榜";"排\t行\t榜\t单";"Bảng Xếp Hạng";;
"mainmenu/titleMultiPlayerModes";"Game Modes";"Modes de jeu";"Modalità di gioco";"Spielmodi";"Modos de Juego";"Режимы игры";"Tryby gry";"Herní módy";"Oyun modları";"游\t戏\t模\t式";"ゲームモード";"Modos de Jogo";"Режими гри";"Režimi igranja";"Játékmódok";"게임 모드";"Рэжымы гульні";"Moduri de joc";"遊\t戲\t模\t式";"游\t戏\t模\t式";"Chế độ chơi";;
"mainmenu/titleSinglePlayer";"Single Player";"Un joueur";"Giocatore singolo";"Einzelspieler";"Un Jugador";"Одиночная игра";"Jeden gracz";"Jeden hráč";"Tek Oyuncu";"单\t人\t游\t戏";"シングルプレイヤー";"Um Jogador";"Одиночна гра";"Za Jednog igrača";"Egyszemélyes";"싱글 플레이어";"Адзіночная гульня";"Jucător singur";"單\t人\t遊\t戲";"单\t人\t游\t戏";"Cá nhân";;
"mainmenu/titleSelectMatch";"Match";"Partie";"Partita";"Spiel";"Partida";"Игра";"Rozgrywka";"Bitva";"Maç";"对\t战";"対戦";"Partida";"Матч";"Meč";"Csata";"매치";"Гульня";"Partidă";"配\t對";"对\t战";"Trận đấu";;
